genome_id	reference_path	truth_bp	n_truth_sequences	samples
vASV67.0	v4_hybrid_development/truth/references/vASV67.0.fasta	8021	5	S0,S1
vASV68.0	v4_hybrid_development/truth/references/vASV68.0.fasta	209922	142	S0,S1
vASV69.0	v4_hybrid_development/truth/references/vASV69.0.fasta	64766	112	S0,S1
vASV7.0	v4_hybrid_development/truth/references/vASV7.0.fasta	263116	207	S0,S1
vASV70.0	v4_hybrid_development/truth/references/vASV70.0.fasta	39921	38	S0,S1
vASV71.0	v4_hybrid_development/truth/references/vASV71.0.fasta	65592	2	S0,S1
vASV72.0	v4_hybrid_development/truth/references/vASV72.0.fasta	132998	279	S0,S1
vASV73.0	v4_hybrid_development/truth/references/vASV73.0.fasta	8331	17	S0,S1
vASV74.0	v4_hybrid_development/truth/references/vASV74.0.fasta	81704	81	S0,S1
vASV75.0	v4_hybrid_development/truth/references/vASV75.0.fasta	54639	69	S0,S1
vASV76.0	v4_hybrid_development/truth/references/vASV76.0.fasta	79923	73	S0,S1
vASV77.0	v4_hybrid_development/truth/references/vASV77.0.fasta	586493	193	S0,S1
vASV78.0	v4_hybrid_development/truth/references/vASV78.0.fasta	65640	62	S0,S1
vASV79.0	v4_hybrid_development/truth/references/vASV79.0.fasta	50938	50	S0,S1
vASV8.0	v4_hybrid_development/truth/references/vASV8.0.fasta	107315	363	S0,S1
vASV80.0	v4_hybrid_development/truth/references/vASV80.0.fasta	214606	38	S0,S1
vASV81.0	v4_hybrid_development/truth/references/vASV81.0.fasta	258084	237	S0,S1
vASV82.0	v4_hybrid_development/truth/references/vASV82.0.fasta	89547	68	S0,S1
vASV83.0	v4_hybrid_development/truth/references/vASV83.0.fasta	68929	62	S0,S1
vASV84.0	v4_hybrid_development/truth/references/vASV84.0.fasta	52071	16	S0,S1
vASV85.0	v4_hybrid_development/truth/references/vASV85.0.fasta	103514	110	S0,S1
vASV86.0	v4_hybrid_development/truth/references/vASV86.0.fasta	151423	2	S0,S1
vASV87.0	v4_hybrid_development/truth/references/vASV87.0.fasta	5558	1	S1
vASV88.0	v4_hybrid_development/truth/references/vASV88.0.fasta	46966	49	S0,S1
vASV89.0	v4_hybrid_development/truth/references/vASV89.0.fasta	89670	64	S0,S1
vASV9.0	v4_hybrid_development/truth/references/vASV9.0.fasta	89822	29	S0,S1
vASV90.0	v4_hybrid_development/truth/references/vASV90.0.fasta	75201	54	S0,S1
vASV91.0	v4_hybrid_development/truth/references/vASV91.0.fasta	55668	98	S0,S1
vASV92.0	v4_hybrid_development/truth/references/vASV92.0.fasta	132313	4	S0,S1
vASV93.0	v4_hybrid_development/truth/references/vASV93.0.fasta	38847	78	S0,S1
vASV94.0	v4_hybrid_development/truth/references/vASV94.0.fasta	43634	3	S0,S1
vASV95.0	v4_hybrid_development/truth/references/vASV95.0.fasta	58072	73	S0,S1
vASV96.0	v4_hybrid_development/truth/references/vASV96.0.fasta	48481	41	S0,S1
vASV97.0	v4_hybrid_development/truth/references/vASV97.0.fasta	10391	10	S0,S1
vASV98.0	v4_hybrid_development/truth/references/vASV98.0.fasta	45277	4	S0,S1
vASV99.0	v4_hybrid_development/truth/references/vASV99.0.fasta	90996	3	S0,S1
