assembly_contig	length	n_genome_ids	primary_genome	primary_aligned_bp	secondary_genome	secondary_aligned_bp	chimera_threshold_bp	cross_binid_chimera	has_accepted_alignment
BASE_00001371	4739	1	ASV487.10	4739		0	1000	false	true
BASE_00001372	2076	1	ASV300.8	2076		0	1000	false	true
BASE_00001373	1017	2	ASV153.8	1017	ASV102.10	1017	1000	true	true
BASE_00001374	1950	1	ASV579.0	1950		0	1000	false	true
BASE_00001375	1062	2	ASV486.6	1062	ASV476.8	1062	1000	true	true
BASE_00001376	1150	1	hvASV37.6	856		0	1000	false	true
BASE_00001377	1222	1	ASV399.6	1222		0	1000	false	true
BASE_00001378	1222	2	ASV476.8	1222	ASV486.6	1221	1000	true	true
BASE_00001379	1489	2	ASV102.10	1489	ASV153.8	1486	1000	true	true
BASE_00001380	1605	2	ASV486.6	1605	ASV476.8	1605	1000	true	true
BASE_00001381	1403	2	ASV507.9	1403	ASV507.11	1394	1000	true	true
BASE_00001382	3446	1	ASV387.0	3446		0	1000	false	true
BASE_00001383	1266	2	ASV153.8	1266	ASV102.10	1266	1000	true	true
BASE_00001384	3433	1	ASV387.0	3433		0	1000	false	true
BASE_00001385	1960	2	ASV486.6	1960	ASV476.8	1960	1000	true	true
BASE_00001386	2866	1	ASV487.10	2866		0	1000	false	true
BASE_00001387	1656	2	ASV153.8	1656	ASV102.10	1656	1000	true	true
BASE_00001388	2037	1	ASV487.10	2037		0	1000	false	true
BASE_00001389	1987	1	ASV487.10	1987		0	1000	false	true
BASE_00001390	16621	1	ASV149.0	16621		0	1662	false	true
BASE_00001391	6729	1	ASV487.10	6729		0	1000	false	true
BASE_00001392	1160	1	ASV102.10	1160		0	1000	false	true
BASE_00001393	2038	2	ASV486.6	2038	ASV476.8	2038	1000	true	true
BASE_00001394	2062	1	ASV387.0	2062		0	1000	false	true
BASE_00001395	1406	1	ASV102.10	1406		0	1000	false	true
BASE_00001396	1388	1	ASV507.11	1388		0	1000	false	true
BASE_00001397	1460	2	ASV153.8	1460	ASV102.10	1460	1000	true	true
BASE_00001398	1810	1	ASV300.8	1810		0	1000	false	true
BASE_00001399	2469	2	ASV153.8	2469	ASV102.10	2469	1000	true	true
BASE_00001400	1535	1	ASV300.2	1535		0	1000	false	true
BASE_00001401	1882	2	ASV153.8	1882	ASV102.10	1882	1000	true	true
BASE_00001402	1306	1	ASV387.0	1306		0	1000	false	true
BASE_00001403	1189	1	ASV406.4	1189		0	1000	false	true
BASE_00001404	1976	2	ASV153.8	1976	ASV102.10	1976	1000	true	true
BASE_00001405	2393	1	ASV507.1	1927		0	1000	false	true
BASE_00001406	1086	1	ASV507.11	1086		0	1000	false	true
BASE_00001407	1549	2	ASV153.8	1549	ASV102.10	1549	1000	true	true
BASE_00001408	1000	2	ASV486.6	1000	ASV476.8	1000	1000	true	true
BASE_00001409	3585	1	ASV387.0	3585		0	1000	false	true
BASE_00001410	1134	1	ASV300.8	1134		0	1000	false	true
BASE_00001411	3274	1	ASV102.10	3274		0	1000	false	true
BASE_00001412	1016	1	ASV406.4	1016		0	1000	false	true
BASE_00001413	1365	2	ASV102.10	1365	ASV153.8	1345	1000	true	true
BASE_00001414	1986	2	ASV486.6	1986	ASV476.8	1986	1000	true	true
BASE_00001415	1142	1	ASV487.10	1142		0	1000	false	true
BASE_00001416	1305	1	ASV487.10	1305		0	1000	false	true
BASE_00001417	1040	2	ASV476.8	1040	ASV486.6	1011	1000	true	true
BASE_00001418	5959	2	ASV507.11	4813	ASV507.9	4617	1000	true	true
BASE_00001419	1036	1	ASV300.8	1036		0	1000	false	true
BASE_00001420	1121	4	ASV507.11	801	ASV507.3	584	1000	false	true
BASE_00001421	3026	2	ASV153.8	3026	ASV102.10	3026	1000	true	true
BASE_00001422	1625	1	ASV487.10	1625		0	1000	false	true
BASE_00001423	1499	1	ASV266.11	1499		0	1000	false	true
BASE_00001424	2242	1	ASV300.8	2242		0	1000	false	true
BASE_00001425	5438	1	ASV102.10	5438		0	1000	false	true
BASE_00001426	2845	2	ASV153.8	2845	ASV102.10	2845	1000	true	true
BASE_00001427	2105	1	ASV300.8	2105		0	1000	false	true
BASE_00001428	2831	1	ASV487.10	2831		0	1000	false	true
BASE_00001429	2645	3	ASV507.3	2443	ASV507.1	2363	1000	true	true
BASE_00001430	8231	1	ASV487.10	8231		0	1000	false	true
BASE_00001431	1548	1	ASV399.6	1548		0	1000	false	true
BASE_00001432	1290	1	ASV300.8	1290		0	1000	false	true
BASE_00001433	1311	1	ASV579.0	1311		0	1000	false	true
BASE_00001434	1145	1	ASV426.8	1145		0	1000	false	true
BASE_00001435	1532	1	ASV300.8	1532		0	1000	false	true
BASE_00001436	3435	1	ASV507.11	3435		0	1000	false	true
BASE_00001437	2419	2	ASV102.10	2419	ASV153.8	2401	1000	true	true
BASE_00001438	1763	1	ASV300.8	1763		0	1000	false	true
BASE_00001439	1078	2	ASV507.9	1078	ASV507.11	1049	1000	true	true
BASE_00001440	1330	1	ASV507.9	1274		0	1000	false	true
BASE_00001441	8356	1	ASV387.0	8356		0	1000	false	true
BASE_00001442	3723	1	ASV387.0	3723		0	1000	false	true
BASE_00001443	4011	2	ASV507.9	4011	ASV507.11	4011	1000	true	true
BASE_00001444	1820	2	ASV476.8	1820	ASV486.6	1802	1000	true	true
BASE_00001445	6848	1	ASV387.0	6848		0	1000	false	true
BASE_00001446	1350	1	vASV63.0	1259		0	1000	false	true
BASE_00001447	1296	1	ASV150.14	1296		0	1000	false	true
BASE_00001448	1191	2	ASV476.8	1191	ASV486.6	1175	1000	true	true
BASE_00001449	1374	2	ASV507.11	1363	ASV507.1	1104	1000	true	true
BASE_00001450	1208	1	ASV102.10	1208		0	1000	false	true
BASE_00001451	1382	1	ASV406.4	1382		0	1000	false	true
BASE_00001452	1560	2	ASV153.8	1560	ASV102.10	1560	1000	true	true
BASE_00001453	2542	1	ASV579.0	2542		0	1000	false	true
BASE_00001454	3551	1	ASV507.11	2586		0	1000	false	true
BASE_00001455	2516	2	ASV507.11	2516	ASV507.0	2516	1000	true	true
BASE_00001456	2076	2	ASV507.9	2076	ASV507.11	2076	1000	true	true
BASE_00001457	1002	1	ASV300.8	1002		0	1000	false	true
BASE_00001458	2133	1	ASV102.10	2133		0	1000	false	true
BASE_00001459	1309	2	ASV486.6	1309	ASV476.8	1309	1000	true	true
BASE_00001460	1446	2	ASV153.8	1446	ASV102.10	1446	1000	true	true
BASE_00001461	1038	2	ASV507.3	1038	ASV507.1	1002	1000	true	true
BASE_00001462	1959	1	ASV426.8	1713		0	1000	false	true
BASE_00001463	1781	2	ASV486.6	1781	ASV476.8	1781	1000	true	true
BASE_00001464	5558	1	ASV387.0	5151		0	1000	false	true
BASE_00001465	3341	1	ASV487.10	3341		0	1000	false	true
BASE_00001466	1303	1	ASV102.10	1303		0	1000	false	true
BASE_00001467	1563	2	ASV507.9	1563	ASV507.11	1345	1000	true	true
BASE_00001468	1907	2	ASV507.9	1907	ASV507.11	1907	1000	true	true
BASE_00001469	1058	1	ASV476.8	1058		0	1000	false	true
BASE_00001470	2951	2	ASV102.10	2951	ASV153.8	2948	1000	true	true
BASE_00001471	1217	1	ASV487.10	1217		0	1000	false	true
BASE_00001472	1200	1	ASV266.11	1200		0	1000	false	true
BASE_00001473	1241	1	ASV300.8	1241		0	1000	false	true
BASE_00001474	1131	1	ASV300.8	1131		0	1000	false	true
BASE_00001475	1138	4	ASV507.11	1138	ASV507.0	1138	1000	true	true
BASE_00001476	1324	2	ASV153.8	1324	ASV102.10	1324	1000	true	true
BASE_00001477	1222	1	ASV507.11	1222		0	1000	false	true
BASE_00001478	2667	2	ASV486.6	2667	ASV476.8	2667	1000	true	true
BASE_00001479	1057	1	ASV399.6	1057		0	1000	false	true
BASE_00001480	1936	2	ASV486.6	1936	ASV476.8	1936	1000	true	true
BASE_00001481	1160	1	ASV399.6	1160		0	1000	false	true
BASE_00001482	1365	1	ASV507.11	1365		0	1000	false	true
BASE_00001483	1793	2	ASV507.3	1793	ASV507.1	1787	1000	true	true
BASE_00001484	1201	1	ASV102.10	1201		0	1000	false	true
BASE_00001485	1164	1	ASV300.8	1164		0	1000	false	true
BASE_00001486	3017	1	ASV387.0	3017		0	1000	false	true
BASE_00001487	1147	2	ASV153.8	1147	ASV102.10	1147	1000	true	true
BASE_00001488	2253	2	ASV153.8	2253	ASV102.10	2253	1000	true	true
BASE_00001489	1787	2	ASV102.10	1787	ASV153.8	1771	1000	true	true
BASE_00001490	1739	1	ASV387.0	1739		0	1000	false	true
BASE_00001491	48180	1	pASV42	48180		0	4818	false	true
BASE_00001492	1050	1	ASV399.6	1050		0	1000	false	true
BASE_00001493	1063	3	ASV507.1	1063	ASV507.3	1057	1000	true	true
BASE_00001494	2384	1	ASV507.1	2340		0	1000	false	true
BASE_00001495	1009	1	ASV507.0	964		0	1000	false	true
BASE_00001496	3907	1	ASV487.10	3907		0	1000	false	true
BASE_00001497	1030	1	ASV102.10	1030		0	1000	false	true
BASE_00001498	1073	1	ASV102.10	1073		0	1000	false	true
BASE_00001499	4191	1	ASV487.10	4191		0	1000	false	true
BASE_00001500	1150	2	ASV486.6	1150	ASV476.8	1150	1000	true	true
BASE_00001501	1367	2	ASV476.8	1367	ASV486.6	1337	1000	true	true
BASE_00001502	1475	1	ASV102.10	1475		0	1000	false	true
BASE_00001503	2259	2	ASV153.8	2259	ASV102.10	2259	1000	true	true
BASE_00001504	7433	1	ASV487.10	7433		0	1000	false	true
BASE_00001505	2190	2	ASV153.8	2190	ASV102.10	2190	1000	true	true
BASE_00001506	3174	2	ASV507.11	3091	ASV507.9	2730	1000	true	true
BASE_00001507	1317	2	ASV486.6	1317	ASV476.8	1317	1000	true	true
BASE_00001508	1087	1	ASV487.10	1087		0	1000	false	true
BASE_00001509	1303	1	ASV102.10	1303		0	1000	false	true
BASE_00001510	1127	2	ASV102.10	1127	ASV153.8	1093	1000	true	true
BASE_00001511	1202	1	ASV300.2	1202		0	1000	false	true
BASE_00001512	1856	1	ASV487.10	1856		0	1000	false	true
BASE_00001513	1054	1	ASV579.0	1054		0	1000	false	true
BASE_00001514	1079	2	ASV102.10	1079	ASV153.8	1076	1000	true	true
BASE_00001515	1141	1	ASV406.4	1141		0	1000	false	true
BASE_00001516	1960	2	ASV153.8	1960	ASV102.10	1960	1000	true	true
BASE_00001517	1921	2	ASV507.9	1919	ASV507.11	1919	1000	true	true
BASE_00001518	1411	4	ASV507.1	759	ASV507.0	759	1000	false	true
BASE_00001519	1129	1	ASV507.11	1129		0	1000	false	true
BASE_00001520	3540	1	ASV387.0	3540		0	1000	false	true
BASE_00001521	1023	2	ASV486.6	1023	ASV476.8	1023	1000	true	true
BASE_00001522	2419	1	ASV300.8	2419		0	1000	false	true
BASE_00001523	1581	1	ASV300.8	1581		0	1000	false	true
BASE_00001524	1187	1	ASV102.10	1187		0	1000	false	true
BASE_00001525	1563	1	ASV406.4	1563		0	1000	false	true
BASE_00001526	8955	1	ASV387.0	8955		0	1000	false	true
BASE_00001527	1488	1	ASV102.10	1488		0	1000	false	true
BASE_00001528	1435	1	ASV476.8	1435		0	1000	false	true
BASE_00001529	1363	2	ASV476.8	1363	ASV486.6	1347	1000	true	true
BASE_00001530	1507	2	ASV476.8	1507	ASV486.6	1505	1000	true	true
BASE_00001531	1004	2	ASV507.3	786	ASV507.1	786	1000	false	true
BASE_00001532	1410	2	ASV486.6	1410	ASV476.8	1410	1000	true	true
BASE_00001533	1487	2	ASV507.11	1462	ASV507.9	1253	1000	true	true
BASE_00001534	1027	2	ASV507.9	1027	ASV507.11	1027	1000	true	true
BASE_00001535	1546	2	ASV153.8	1546	ASV102.10	1546	1000	true	true
BASE_00001536	1044	1	ASV507.3	1036		0	1000	false	true
BASE_00001537	3336	2	ASV507.11	3044	ASV507.9	3031	1000	true	true
BASE_00001538	2002	2	ASV153.8	2002	ASV102.10	2002	1000	true	true
BASE_00001539	1421	1	ASV300.8	1421		0	1000	false	true
BASE_00001540	1462	1	ASV300.8	1462		0	1000	false	true
BASE_00001541	2194	1	ASV300.8	2194		0	1000	false	true
BASE_00001542	2270	1	ASV487.10	2270		0	1000	false	true
BASE_00001543	1114	1	ASV507.0	1114		0	1000	false	true
BASE_00001544	1434	1	ASV579.0	1434		0	1000	false	true
BASE_00001545	1000	3	ASV507.1	1000	ASV507.0	954	1000	false	true
BASE_00001546	1381	2	ASV153.8	1381	ASV102.10	1381	1000	true	true
BASE_00001547	1307	2	ASV476.8	1307	ASV486.6	1295	1000	true	true
BASE_00001548	1261	2	ASV507.3	1261	ASV507.1	1221	1000	true	true
BASE_00001549	6176	1	ASV487.10	6176		0	1000	false	true
BASE_00001550	1202	1	ASV300.8	1202		0	1000	false	true
BASE_00001551	3695	2	ASV153.8	3695	ASV102.10	3695	1000	true	true
BASE_00001552	2038	1	ASV487.10	2038		0	1000	false	true
BASE_00001553	1920	2	ASV486.6	1920	ASV476.8	1920	1000	true	true
BASE_00001554	3679	2	ASV153.8	3679	ASV102.10	3679	1000	true	true
BASE_00001555	1277	2	ASV153.8	1277	ASV102.10	1277	1000	true	true
BASE_00001556	1955	1	ASV300.8	1955		0	1000	false	true
BASE_00001557	1464	1	ASV487.10	1464		0	1000	false	true
BASE_00001558	1172	1	ASV579.0	1172		0	1000	false	true
BASE_00001559	1336	2	ASV486.6	1336	ASV476.8	1336	1000	true	true
BASE_00001560	2429	1	ASV487.10	2429		0	1000	false	true
BASE_00001561	2121	1	ASV579.0	2121		0	1000	false	true
BASE_00001562	1779	2	ASV153.8	1779	ASV102.10	1779	1000	true	true
BASE_00001563	2632	1	ASV300.8	2632		0	1000	false	true
BASE_00001564	1140	2	ASV153.8	1140	ASV102.10	1140	1000	true	true
BASE_00001565	1285	1	ASV426.8	1285		0	1000	false	true
BASE_00001566	1023	2	ASV153.8	1023	ASV102.10	1023	1000	true	true
BASE_00001567	2382	2	ASV153.8	2382	ASV102.10	2382	1000	true	true
BASE_00001568	14961	1	ASV387.0	14961		0	1496	false	true
BASE_00001569	1448	1	ASV387.0	1448		0	1000	false	true
BASE_00001570	2656	1	ASV387.0	2656		0	1000	false	true
BASE_00001571	1276	1	ASV579.0	1276		0	1000	false	true
BASE_00001572	3297	1	ASV487.10	3297		0	1000	false	true
BASE_00001573	5289	1	ASV487.10	5289		0	1000	false	true
BASE_00001574	2353	1	ASV399.6	2353		0	1000	false	true
BASE_00001575	1209	2	ASV486.6	1209	ASV476.8	1209	1000	true	true
BASE_00001576	3228	2	ASV102.10	3228	ASV153.8	3223	1000	true	true
BASE_00001577	1790	2	ASV486.6	1790	ASV476.8	1124	1000	true	true
BASE_00001578	2387	1	ASV487.10	2387		0	1000	false	true
BASE_00001579	1449	1	ASV507.1	1449		0	1000	false	true
BASE_00001580	1474	2	ASV507.11	917	ASV507.1	633	1000	false	true
BASE_00001581	9339	1	ASV487.10	9339		0	1000	false	true
BASE_00001582	1460	1	ASV507.1	772		0	1000	false	true
BASE_00001583	2770	1	ASV102.10	2770		0	1000	false	true
BASE_00001584	2531	2	ASV153.8	2531	ASV102.10	2531	1000	true	true
BASE_00001585	1000	2	ASV153.8	885	ASV102.10	885	1000	false	true
BASE_00001586	1304	1	ASV300.8	1304		0	1000	false	true
BASE_00001587	1414	2	ASV507.1	1280	ASV507.3	1270	1000	true	true
BASE_00001588	1442	2	ASV476.8	1442	ASV486.6	1439	1000	true	true
BASE_00001589	2627	2	ASV153.8	2627	ASV102.10	2627	1000	true	true
BASE_00001590	3472	2	ASV102.10	3472	ASV153.8	3454	1000	true	true
BASE_00001591	1972	1	ASV387.0	1972		0	1000	false	true
BASE_00001592	1129	2	ASV153.8	1129	ASV102.10	1129	1000	true	true
BASE_00001593	1220	1	ASV579.0	1220		0	1000	false	true
BASE_00001594	2214	1	ASV102.10	2214		0	1000	false	true
BASE_00001595	2049	1	ASV300.8	2049		0	1000	false	true
BASE_00001596	9816	1	ASV487.10	9816		0	1000	false	true
BASE_00001597	1714	2	ASV153.8	1714	ASV102.10	1714	1000	true	true
BASE_00001598	1206	1	ASV579.0	1206		0	1000	false	true
BASE_00001599	1034	1	ASV300.8	1034		0	1000	false	true
BASE_00001600	2643	1	ASV487.10	2643		0	1000	false	true
BASE_00001601	1341	2	ASV507.9	1341	ASV507.11	1317	1000	true	true
BASE_00001602	2145	1	ASV387.0	2145		0	1000	false	true
BASE_00001603	1110	2	ASV153.8	1110	ASV102.10	1110	1000	true	true
BASE_00001604	1548	1	ASV507.11	1162		0	1000	false	true
BASE_00001605	1498	3	ASV486.6	839	ASV476.8	839	1000	false	true
BASE_00001606	3052	2	ASV507.9	3034	ASV507.11	2988	1000	true	true
BASE_00001607	1284	2	ASV153.8	759	ASV102.10	759	1000	false	true
BASE_00001608	2300	3	ASV507.3	1502	ASV507.1	1499	1000	true	true
BASE_00001609	7433	2	ASV102.10	7433	ASV153.8	7429	1000	true	true
BASE_00001610	1869	1	ASV399.6	1869		0	1000	false	true
BASE_00001611	1337	1	ASV102.10	1337		0	1000	false	true
BASE_00001612	1184	2	ASV153.8	1184	ASV102.10	1184	1000	true	true
BASE_00001613	1016	1	ASV300.8	1016		0	1000	false	true
BASE_00001614	1118	1	ASV102.10	1118		0	1000	false	true
BASE_00001615	2723	2	ASV486.6	2081	ASV476.8	2060	1000	true	true
BASE_00001616	2799	1	ASV300.8	2799		0	1000	false	true
BASE_00001617	2136	5	ASV507.3	1131	ASV507.0	1131	1000	true	true
BASE_00001618	2542	2	ASV507.11	2542	ASV507.9	2540	1000	true	true
BASE_00001619	1913	2	ASV507.9	1913	ASV507.11	1913	1000	true	true
BASE_00001620	2346	2	ASV102.10	2346	ASV153.8	2337	1000	true	true
BASE_00001621	1143	1	ASV507.11	1013		0	1000	false	true
BASE_00001622	1323	1	ASV300.8	1323		0	1000	false	true
BASE_00001623	1231	2	ASV486.6	1231	ASV476.8	1231	1000	true	true
BASE_00001624	2915	1	ASV487.10	2899		0	1000	false	true
BASE_00001625	2764	2	ASV153.8	2764	ASV102.10	2764	1000	true	true
BASE_00001626	1672	1	ASV102.10	1672		0	1000	false	true
BASE_00001627	1394	2	ASV507.9	1083	ASV507.11	1035	1000	true	true
BASE_00001628	3049	2	ASV507.1	2578	ASV507.3	2540	1000	true	true
BASE_00001629	1132	1	ASV487.10	1132		0	1000	false	true
BASE_00001630	2145	1	ASV300.8	2145		0	1000	false	true
BASE_00001631	1801	1	ASV426.8	1801		0	1000	false	true
BASE_00001632	1390	2	ASV507.11	1373	ASV507.9	1133	1000	true	true
BASE_00001633	1454	2	ASV486.6	1454	ASV476.8	1454	1000	true	true
BASE_00001634	1004	1	ASV300.8	1004		0	1000	false	true
BASE_00001635	2664	1	ASV507.11	2655		0	1000	false	true
BASE_00001636	4358	2	ASV507.11	4171	ASV507.9	4155	1000	true	true
BASE_00001637	2205	2	ASV102.10	2205	ASV153.8	2183	1000	true	true
BASE_00001638	1091	1	ASV399.6	1091		0	1000	false	true
BASE_00001639	1705	2	ASV507.1	1705	ASV507.3	1696	1000	true	true
BASE_00001640	1084	1	ASV507.1	1084		0	1000	false	true
BASE_00001641	1095	2	ASV153.8	1095	ASV102.10	1069	1000	true	true
BASE_00001642	3035	2	ASV153.8	3035	ASV102.10	3035	1000	true	true
BASE_00001643	2881	2	ASV153.8	2708	ASV102.10	2708	1000	true	true
BASE_00001644	1086	1	ASV579.0	1086		0	1000	false	true
BASE_00001645	1172	1	ASV300.8	1023		0	1000	false	true
BASE_00001646	1596	1	ASV507.3	1594		0	1000	false	true
BASE_00001647	1172	2	ASV153.8	1172	ASV102.10	1144	1000	true	true
BASE_00001648	2093	1	ASV507.11	1996		0	1000	false	true
BASE_00001649	2585	1	ASV487.10	2099		0	1000	false	true
BASE_00001650	5093	1	ASV387.0	5093		0	1000	false	true
BASE_00001651	2009	2	ASV153.8	2009	ASV102.10	2009	1000	true	true
BASE_00001652	1349	1	ASV300.8	1349		0	1000	false	true
BASE_00001653	1096	2	ASV507.9	1096	ASV507.11	1096	1000	true	true
BASE_00001654	1070	1	ASV102.10	1070		0	1000	false	true
BASE_00001655	1289	1	ASV300.8	1289		0	1000	false	true
BASE_00001656	1526	1	ASV387.0	1526		0	1000	false	true
BASE_00001657	2604	1	ASV507.11	2604		0	1000	false	true
BASE_00001658	2409	2	ASV507.9	2232	ASV507.11	2232	1000	true	true
BASE_00001659	1013	2	ASV486.6	1013	ASV476.8	1013	1000	true	true
BASE_00001660	1569	1	ASV579.0	1569		0	1000	false	true
BASE_00001661	2548	1	ASV487.10	2548		0	1000	false	true
BASE_00001662	3383	1	ASV387.0	3383		0	1000	false	true
BASE_00001663	1079	2	ASV486.6	1079	ASV476.8	1079	1000	true	true
BASE_00001664	2097	1	ASV487.10	2097		0	1000	false	true
BASE_00001665	1119	1	vASV60.0	1119		0	1000	false	true
BASE_00001666	1738	2	ASV153.8	1738	ASV102.10	1738	1000	true	true
BASE_00001667	1066	1	ASV579.0	1066		0	1000	false	true
BASE_00001668	1015	1	ASV399.6	1015		0	1000	false	true
BASE_00001669	2613	2	ASV102.10	2613	ASV153.8	2358	1000	true	true
BASE_00001670	1062	1	ASV300.2	1062		0	1000	false	true
BASE_00001671	1102	1	ASV300.8	1102		0	1000	false	true
BASE_00001672	3174	1	ASV387.0	3174		0	1000	false	true
BASE_00001673	2553	2	ASV486.6	2553	ASV476.8	2553	1000	true	true
BASE_00001674	1665	2	ASV507.3	1665	ASV507.1	1665	1000	true	true
BASE_00001675	1126	1	ASV399.6	1126		0	1000	false	true
BASE_00001676	1914	2	ASV507.9	1914	ASV507.11	1914	1000	true	true
BASE_00001677	3357	1	ASV387.0	3357		0	1000	false	true
BASE_00001678	1074	2	ASV476.8	1074	ASV486.6	1071	1000	true	true
BASE_00001679	2615	1	ASV102.10	2615		0	1000	false	true
BASE_00001680	2115	2	ASV507.1	1545	ASV507.11	1024	1000	true	true
BASE_00001681	1266	2	ASV507.0	1266	ASV507.11	1160	1000	true	true
BASE_00001682	2681	2	ASV507.9	2681	ASV507.11	2681	1000	true	true
BASE_00001683	1323	1	ASV102.10	1323		0	1000	false	true
BASE_00001684	1121	1	ASV300.8	1121		0	1000	false	true
BASE_00001685	4534	2	ASV153.8	4534	ASV102.10	4534	1000	true	true
BASE_00001686	7425	1	ASV487.10	7425		0	1000	false	true
BASE_00001687	2152	2	ASV507.1	2027	ASV507.0	1772	1000	true	true
BASE_00001688	1003	1	ASV507.1	1003		0	1000	false	true
BASE_00001689	1993	2	ASV153.8	1993	ASV102.10	1993	1000	true	true
BASE_00001690	2683	2	ASV153.8	2683	ASV102.10	2683	1000	true	true
BASE_00001691	3799	1	ASV387.0	3799		0	1000	false	true
BASE_00001692	1132	3	ASV507.1	1132	ASV507.0	1126	1000	true	true
BASE_00001693	1360	2	ASV507.11	1355	ASV507.9	1318	1000	true	true
BASE_00001694	2460	2	ASV153.8	2460	ASV102.10	2460	1000	true	true
BASE_00001695	1075	1	ASV487.10	1075		0	1000	false	true
BASE_00001696	1390	2	ASV507.9	1365	ASV507.11	1360	1000	true	true
BASE_00001697	1133	1	ASV300.8	1133		0	1000	false	true
BASE_00001698	2650	2	ASV476.8	2650	ASV486.6	2638	1000	true	true
BASE_00001699	1172	1	ASV387.0	1172		0	1000	false	true
BASE_00001700	1646	1	ASV102.10	1646		0	1000	false	true
BASE_00001701	1350	1	ASV300.8	1350		0	1000	false	true
BASE_00001702	1712	1	ASV300.8	1530		0	1000	false	true
BASE_00001703	3226	1	ASV387.0	3226		0	1000	false	true
BASE_00001704	1962	1	ASV487.10	1962		0	1000	false	true
BASE_00001705	4105	2	ASV153.8	4105	ASV102.10	4105	1000	true	true
BASE_00001706	3800	1	ASV487.10	3800		0	1000	false	true
BASE_00001707	2954	2	ASV507.11	2259	ASV507.9	2179	1000	true	true
BASE_00001708	3387	2	ASV507.9	3387	ASV507.11	3387	1000	true	true
BASE_00001709	3950	1	ASV387.0	3950		0	1000	false	true
BASE_00001710	1462	3	ASV507.3	1444	ASV507.1	1444	1000	true	true
BASE_00001711	1117	1	ASV426.8	1117		0	1000	false	true
BASE_00001712	1852	2	ASV476.8	1852	ASV486.6	1808	1000	true	true
BASE_00001713	1121	1	ASV300.8	1121		0	1000	false	true
BASE_00001714	2565	1	ASV507.11	2399		0	1000	false	true
BASE_00001715	2228	1	ASV102.10	2228		0	1000	false	true
BASE_00001716	1734	2	ASV486.6	1734	ASV476.8	1734	1000	true	true
BASE_00001717	2287	2	ASV153.8	2287	ASV102.10	2287	1000	true	true
BASE_00001718	2287	2	ASV399.6	1817	ASV387.0	1784	1000	true	true
BASE_00001719	2945	3	ASV507.3	2918	ASV507.1	2918	1000	true	true
BASE_00001720	1030	2	fASV196.1	827	fASV195.4	754	1000	false	true
BASE_00001721	1304	2	ASV476.8	1304	ASV486.6	1292	1000	true	true
BASE_00001722	5638	1	ASV387.0	5638		0	1000	false	true
BASE_00001723	4828	1	ASV387.0	4828		0	1000	false	true
BASE_00001724	5575	1	ASV387.0	5575		0	1000	false	true
BASE_00001725	1048	1	ASV579.0	1048		0	1000	false	true
BASE_00001726	1366	1	ASV487.10	1366		0	1000	false	true
BASE_00001727	1318	2	ASV507.11	1318	ASV507.1	1265	1000	true	true
BASE_00001728	2616	1	ASV387.0	2616		0	1000	false	true
BASE_00001729	1012	1	ASV406.4	1012		0	1000	false	true
BASE_00001730	5613	2	ASV153.8	5613	ASV102.10	5613	1000	true	true
BASE_00001731	9762	1	ASV487.10	9762		0	1000	false	true
BASE_00001732	1070	1	ASV487.10	1070		0	1000	false	true
BASE_00001733	1725	2	ASV507.9	1635	ASV507.11	1635	1000	true	true
BASE_00001734	1323	1	ASV399.6	1323		0	1000	false	true
BASE_00001735	1267	1	ASV266.11	1267		0	1000	false	true
BASE_00001736	1386	2	ASV486.6	1386	ASV476.8	1386	1000	true	true
BASE_00001737	1469	2	ASV486.6	1469	ASV476.8	1469	1000	true	true
BASE_00001738	1303	1	ASV579.0	1293		0	1000	false	true
BASE_00001739	2047	1	ASV487.10	2047		0	1000	false	true
BASE_00001740	1010	1	ASV406.4	1010		0	1000	false	true
BASE_00001741	6485	1	ASV387.0	6485		0	1000	false	true
BASE_00001742	1467	1	ASV579.0	1467		0	1000	false	true
BASE_00001743	1601	1	ASV487.10	1601		0	1000	false	true
BASE_00001744	2012	2	ASV153.8	2012	ASV102.10	2012	1000	true	true
BASE_00001745	5029	1	ASV487.10	5029		0	1000	false	true
BASE_00001746	1023	1	ASV487.10	1023		0	1000	false	true
BASE_00001747	1450	1	ASV387.0	1450		0	1000	false	true
BASE_00001748	1288	1	ASV579.0	1288		0	1000	false	true
BASE_00001749	1320	1	ASV406.4	1320		0	1000	false	true
BASE_00001750	1073	1	ASV406.4	675		0	1000	false	true
BASE_00001751	1403	1	ASV579.0	1403		0	1000	false	true
BASE_00001752	2184	2	ASV153.8	2184	ASV102.10	2184	1000	true	true
BASE_00001753	1115	1	ASV507.1	1115		0	1000	false	true
BASE_00001754	2137	2	ASV153.8	2137	ASV102.10	2137	1000	true	true
BASE_00001755	1057	3	ASV507.3	1057	ASV507.1	1057	1000	true	true
BASE_00001756	1336	1	ASV102.10	1336		0	1000	false	true
BASE_00001757	1413	2	ASV507.9	1413	ASV507.0	1413	1000	true	true
BASE_00001758	2026	2	ASV102.10	2026	ASV153.8	2017	1000	true	true
BASE_00001759	6416	1	ASV387.0	6416		0	1000	false	true
BASE_00001760	1203	1	ASV150.14	1203		0	1000	false	true
BASE_00001761	2561	2	ASV507.11	2561	ASV507.9	2538	1000	true	true
BASE_00001762	1335	3	ASV153.8	1335	ASV102.10	1335	1000	true	true
BASE_00001763	1325	2	ASV507.1	1325	ASV507.3	1296	1000	true	true
