pmcid,title,stage,reason
PMC11936567,Integrating network pharmacology and molecular docking to explore the pharmacological mechanism of tanshinone IIA in improving chronic obstructive pulmonary disease.,metadata,no_intervention_signal
PMC12138829,Network Pharmacology Combined with Proteomics Reveals That 3‑Acetyl-11-keto-β-boswellic Acid Inhibits the Progression of Prostate Cancer by Regulating the IL-17 Signaling Pathway.,metadata,no_intervention_signal
PMC9552692,Network Pharmacology and Molecular Docking Analyses Unveil the Mechanisms of Yiguanjian Decoction against Parkinson's Disease from Inner/Outer Brain Perspective.,metadata,title_pattern:\bperspective\b
PMC12150010,[Corrigendum] Network pharmacology combined with experimental validation to investigate the effect of Rongjin Niantong Fang on chondrocyte apoptosis in knee osteoarthritis.,metadata,no_intervention_signal
PMC9410815,Study on the Mechanism of Xiaotan Sanjie Recipe in the Treatment of Colon Cancer Based on Network Pharmacology.,metadata,no_intervention_signal
PMC10889325,"Network Pharmacology and Experimental Verifications to Discover <i>Scutellaria baicalensis</i> Georgi's Effects on Joint Inflammation, Destruction, and Pain in Osteoarthritis.",metadata,no_intervention_signal
PMC9755740,"Banxia baizhu tianma decoction, a Chinese herbal formula, for hypertension: Integrating meta-analysis and network pharmacology.",metadata,title_pattern:\bmeta-analysis\b
PMC11986939,Revealing the Mechanisms of Shikonin Against Diabetic Wounds: A Combined Network Pharmacology and In Vitro Investigation.,metadata,no_intervention_signal
PMC11411401,Investigating the protective effect of loganin in ovariectomy‑induced bone loss through network pharmacology and molecular docking.,metadata,no_intervention_signal
PMC11352311,Revealing the Mechanism of Esculin in Treating Renal Cell Carcinoma Based on Network Pharmacology and Experimental Validation.,metadata,no_intervention_signal
PMC10795024,Integrated Network Pharmacology Approach to Evaluate Bioactive Phytochemicals of <i>Acalypha indica</i> and Their Mechanistic Actions to Suppress Target Genes of Tuberculosis.,metadata,no_intervention_signal
PMC12307386,Exploring the effect and mechanism of fucoidan on liver cancer depending on network pharmacology and experimental verification.,metadata,no_intervention_signal
PMC12771444,An Integrative Omics and Network Pharmacology Approach to Evaluate the Antiulcer Activity of &lt;i&gt;Bombax ceiba&lt;/i&gt; L. Gum in Rats.,metadata,no_intervention_signal
PMC13276463,Risk assessment for hydrophobic disinfectants and antiseptics as contaminants in freshwater using risk quotient and network pharmacology approaches.,metadata,no_intervention_signal
PMC13091021,Unravelling the multi-target mechanism of methoxylated flavonoids in Parkinson's disease: Insights from network pharmacology and molecular dynamics.,metadata,no_intervention_signal
PMC12450931,Integrated metabolomics and network pharmacology to investigate the anti-hyperlipidemia effect of geniposidic acid on high-fat diet induced mice.,metadata,no_intervention_signal
PMC10873672,Anti-inflammatory effects of <i>Chrozophora plicata</i> uncovered using network pharmacology and in-vivo carrageenan paw edema model.,metadata,no_intervention_signal
PMC11750949,Exploring the Cardioprotective Mechanisms of <i>Ligusticum wallichii</i> in Myocardial Infarction Through Network Pharmacology and Experimental Validation.,metadata,no_intervention_signal
PMC11141582,Evidence Construction of Chuankezhi Injection Against Chronic Obstructive Pulmonary Disease: A Systematic Review and Network Pharmacology.,metadata,title_pattern:\bsystematic review\b
PMC13294049,Exploring the potential of gut microbiota metabolites in the treatment of endometriosis through network pharmacology and Mendelian randomization,metadata,no_intervention_signal
PMC11904911,Mechanism of salidroside promoting testosterone secretion induced by H&lt;sub&gt;2&lt;/sub&gt;O&lt;sub&gt;2&lt;/sub&gt; in TM3 Leydig cells based on metabolomics and network pharmacology.,metadata,no_intervention_signal
PMC9720234,Analysis of the Clinical Efficacy and Molecular Mechanism of Xuefu Zhuyu Decoction in the Treatment of COPD Based on Meta-Analysis and Network Pharmacology.,metadata,title_pattern:\bmeta-analysis\b
PMC12370656,Network pharmacology to explore the novel anti-inflammatory mechanism of naringenin in intestinal ischemia/reperfusion injury.,metadata,no_intervention_signal
PMC10724296,Network pharmacology-based research on the effect of Radix Astragali on osteosarcoma and the underlying mechanism.,metadata,no_intervention_signal
PMC11444148,Mechanism Actions of Coniferyl Alcohol in Improving Cardiac Dysfunction in Renovascular Hypertension Studied by Experimental Verification and Network Pharmacology.,metadata,no_intervention_signal
PMC9771300,Integrated network pharmacology and proteomics to reveal the cognitive improvement effect of Wuzang Wenyang Huayu decoction on vascular dementia.,metadata,publication_type:letter
PMC11940423,In vitro experiments and network pharmacology-based investigation of the molecular mechanism of neferine in the treatment of gastric cancer.,metadata,no_intervention_signal
PMC11344467,"Investigation of the mechanism of baicalein in the treatment of periodontitis based on network pharmacology, molecular docking and experimental validation.",metadata,no_intervention_signal
PMC11841155,Naringenin inhibits ferroptosis to reduce radiation-induced lung injury: insights from network Pharmacology and molecular docking.,metadata,no_intervention_signal
PMC9994669,Wuling San Based on Network Pharmacology and in vivo Evidence Against Hyperuricemia via Improving Oxidative Stress and Inhibiting Inflammation.,metadata,no_intervention_signal
PMC11703463,Exploring the effect and mechanism of action of Jinlida granules (JLD) in the treatment of diabetes-associated cognitive impairment based on network pharmacology with experimental validation.,metadata,no_intervention_signal
PMC10289100,Sanqi Qushi Granule Alleviates Proteinuria and Podocyte Damage in NS Rat: A Network Pharmacology Study and in vivo Experimental Validation.,metadata,no_intervention_signal
PMC11416244,Mechanism of Fuzheng Qudu prescription in the treatment of lung cancer based on network pharmacology and experimental validation.,metadata,no_intervention_signal
PMC12941286,"Naringin Alleviates Knee Osteoarthritis by Targeting TNF-α and PTGS2: An Integrated Network Pharmacology, Molecular Simulation, and Experimental Validation Study",metadata,no_intervention_signal
PMC12313873,Deciphering anti-colorectal cancer potential of Avicennia alba bioactives via network pharmacology and in vitro validation.,metadata,no_intervention_signal
PMC11847788,A comprehensive review of Schisandrin B's preclinical antitumor activity and mechanistic insights from network pharmacology.,metadata,title_pattern:\breview\b
PMC11476761,"Investigation of the Pharmacodynamic Components of <i>Gastrodia elata</i> Blume for Treatment of Type 2 Diabetes Mellitus through HPLC, Bioactivity, Network Pharmacology and Molecular Docking.",metadata,no_intervention_signal
PMC11846948,Uncovering the mechanism of Huangkui capsule in the treatment of diabetic kidney disease based on network pharmacology and experimental validation.,metadata,no_intervention_signal
PMC12272094,Exploring the Effectiveness and Potential Pharmacological Mechanism of Minocycline for Spinal Cord Injury through Meta-Analysis and Network Pharmacology.,metadata,title_pattern:\bmeta-analysis\b
PMC11894577,Network pharmacology combined with molecular docking and experimental validation of the mechanism of action of columbianetin acetate in the treatment of ovarian cancer.,metadata,no_intervention_signal
PMC12939569,"Prospecting of Novel Angiotensin I-Converting Enzyme Inhibitory Peptides from Bone Collagen of &lt;i&gt;Pelodiscus sinensis&lt;/i&gt; by Computer-Aided Screening, Molecular Docking, and Network Pharmacology.",metadata,no_intervention_signal
PMC10860289,Network pharmacology-based strategy to investigate the mechanisms of artemisinin in treating primary Sjögren's syndrome.,metadata,no_intervention_signal
PMC10727665,Integrating network pharmacology and experimental verification to explore the mechanism of Tripterygium wilfordii in ankylosing spondylitis.,metadata,no_intervention_signal
PMC12732055,"A Novel Integrative Framework for Depression: Combining Network Pharmacology, Artificial Intelligence, and Multi-Omics with a Focus on the Microbiota-Gut-Brain Axis.",metadata,publication_type:review-article review journal article
PMC11846456,"Exploring the therapeutic potential of marjoram (Origanum majorana L.) in polycystic ovary syndrome: insights from serum metabolomics, network pharmacology and experimental validation.",metadata,no_intervention_signal
PMC11733631,Integrating Network Pharmacology and In Silico Analysis to Explore the Bioactive Compounds Against Gastric Cancer Treatment.,metadata,no_intervention_signal
PMC11124279,Network Pharmacology and Experimental Validation to Explore the Potential Mechanism of <i>Nigella sativa</i> for the Treatment of Breast Cancer.,metadata,no_intervention_signal
PMC10709111,"Molecular mechanism of Achyranthis bidentatae radix and Morindae officinalis radix in osteoporosis therapy: An investigation based on network pharmacology, molecular docking, and molecular dynamics simulations.",metadata,no_intervention_signal
PMC12027412,Network Pharmacology and Molecular Dynamics Identified Potential Androgen Receptor-Targeted Metabolites in &lt;i&gt;Crocus alatavicus&lt;/i&gt;.,metadata,no_intervention_signal
PMC10895587,Paeoniflorin improves ulcerative colitis via regulation of PI3K‑AKT based on network pharmacology analysis.,metadata,no_intervention_signal
PMC11723258,"The Potential Mechanism of <i>Alpiniae oxyphyllae</i> Fructus Against Hyperuricemia: An Integration of Network Pharmacology, Molecular Docking, Molecular Dynamics Simulation, and In Vitro Experiments.",metadata,no_intervention_signal
PMC12263864,"Exploring the health benefits of gut microbiota metabolites on combating ulcerative colitis via network pharmacology, bioinformatics and molecular docking.",metadata,no_intervention_signal
PMC11054834,Potential Mechanism of Tibetan Medicine Liuwei Muxiang Pills against Colorectal Cancer: Network Pharmacology and Bioinformatics Analyses.,metadata,no_intervention_signal
PMC11958680,Exploring the beneficial effect of gut microbiota metabolites on diabetic nephropathy via network pharmacology study.,metadata,no_intervention_signal
PMC10902223,The mechanism of action and experimental verification of Gan-song Yin on renal clear cell carcinoma based on network pharmacology and bioinformatics.,metadata,no_intervention_signal
PMC11382023,Integrated network pharmacology and molecular docking to investigate the potential mechanism of Tufuling on Alzheimer's disease.,metadata,no_intervention_signal
PMC10284302,Network Pharmacology Analysis of the Mechanisms Underlying the Therapeutic Effects of Yangjing Zhongyu Tang on Thin Endometrium.,metadata,no_intervention_signal
PMC10662804,Exploring the inhibition mechanism of interleukin-1-beta in gouty arthritis by polygonum cuspidatum using network pharmacology and molecular docking: A review.,metadata,title_pattern:\breview\b
PMC7836472,A network pharmacology perspective for deciphering potential mechanisms of action of Solanum nigrum L. in bladder cancer.,metadata,title_pattern:\bperspective\b
PMC11386916,Elucidation of the anti-colorectal cancer mechanism of &lt;i&gt;Atractylodes lancea&lt;/i&gt; by network pharmacology and experimental verification.,metadata,no_intervention_signal
PMC9878685,Research trends and hotspots of neurodegenerative diseases employing network pharmacology: A bibliometric analysis.,metadata,title_pattern:\bbibliometric\b
PMC12010628,Combining network pharmacology and experimental verification to explore the inhibitory effects of Deoxyelephantopin (DET) Against Non-Small Cell Lung Cancer (NSCLC).,metadata,no_intervention_signal
PMC13216634,Peiminine attenuates inflammatory bowel disease by suppressing TLR4 mediated NFƙB pathway: an integrated network pharmacology and experimental validation.,metadata,no_intervention_signal
PMC12897157,"Antidepressant Mechanisms of L-Theanine in Tea Based on Network Pharmacology, Molecular Docking, and Molecular Dynamics Simulations.",metadata,no_intervention_signal
PMC12210073,Exploring the mechanisms of tetrahydrocurcumin in ameliorating nonalcoholic steatohepatitis based on network pharmacology and gut microbiota analysis &lt;i&gt;in vivo&lt;/i&gt; and &lt;i&gt;in vitro&lt;/i&gt;.,metadata,no_intervention_signal
PMC13208547,Network Pharmacology and Molecular Docking-Based Investigation of Empagliflozin's Therapeutic Potential in Chronic Kidney Disease.,metadata,no_intervention_signal
PMC12764707,Identification of potential molecular targets of luteolin in the treatment of hepatocellular carcinoma based on network pharmacology and transcriptome sequencing technology.,metadata,no_intervention_signal
PMC12819326,Hyperoside ameliorates lupus nephritis by suppressing AKT1-mediated PANoptosis in podocytes: integrating network pharmacology and experimental validation.,metadata,no_intervention_signal
PMC13027433,"The Effect of Viniferin on Liver Cancer: Research Based on Network Pharmacology, Molecular Docking and Molecular Dynamics Simulation.",metadata,no_intervention_signal
PMC12191591,"Integrating Strategy of Network Pharmacology, Molecular Dynamics Simulation, and Experimental Verification to Investigate the Potential Mechanism of &lt;i&gt;Gastrodia elata&lt;/i&gt; Against Alcoholic Liver Injury.",metadata,no_intervention_signal
PMC11081554,"Exploring the efficacy and molecular mechanism of Danhong injection comprehensively in the treatment of idiopathic pulmonary fibrosis by combining meta-analysis, network pharmacology, and molecular docking methods.",metadata,title_pattern:\bmeta-analysis\b
PMC10994518,Exploring the mechanism of ShenGui capsule in treating heart failure based on network pharmacology and molecular docking: A review.,metadata,title_pattern:\breview\b
PMC12524879,Molecular Mechanism Discovery of Acacetin Against Cancers: Insights from Network Pharmacology and Molecular Docking.,metadata,publication_type:review-article review journal article
PMC12967660,Unraveling the Systems Biology of Curcumin: A Mini-review of its Anti-diabetic Potential through Network Pharmacology.,metadata,title_pattern:\breview\b
PMC11855067,Network Pharmacology Analysis and Experimental Validation of Tectoridin in the Treatment of Ischemic Stroke by Inhibiting Apoptosis and Regulating Inflammation.,metadata,no_intervention_signal
PMC10725889,Integrated network pharmacology and metabolomics reveal the mechanisms of Jasminum elongatum in anti-ulcerative colitis.,metadata,no_intervention_signal
PMC13073608,Integrative Network Pharmacology and Molecular Docking Analysis Uncovers Multi-Target Mechanisms of Alpha-Mangostin Against Acute Kidney Injury.,metadata,no_intervention_signal
PMC13093899,"Integrated Network Pharmacology, Molecular Docking, and Experimental Validation Elucidating the Therapeutic Mechanism of Idesia polycarpa Crude Oil in Aluminum Chloride‐Induced Alzheimer's Rat Models",metadata,no_intervention_signal
PMC11701077,Network Pharmacology Suggests Mechanisms for Therapeutic Effects of <i>Caulis Sinomenii</i> on Avian Gout.,metadata,no_intervention_signal
PMC8725869,Mechanism of Elian granules in the treatment of precancerous lesions of gastric cancer in rats through the MAPK signalling pathway based on network pharmacology.,metadata,no_intervention_signal
PMC12076972,Comprehensive network pharmacology and experimentation to unveil the therapeutic efficacy and mechanisms of gypenoside LI in anaplastic thyroid cancer.,metadata,no_intervention_signal
PMC11351691,Schisandrin A Attenuates Diabetic Nephropathy via EGFR/AKT/GSK3β Signaling Pathway Based on Network Pharmacology and Experimental Validation.,metadata,no_intervention_signal
PMC11796443,Puerarin Ameliorates the Ferroptosis in Diabetic Liver Injure Through the JAK2/STAT3 Pathway Inhibition Based on Network Pharmacology and Experimental Validation.,metadata,no_intervention_signal
PMC12512842,Exploring the mechanism of action of astragaloside in the treatment of osteoarthritis based on network pharmacology.,metadata,no_intervention_signal
PMC10372005,"Based on network pharmacology, gastrodin attenuates hypertension-induced vascular smooth muscle cell proliferation and PI3K/AKT pathway activation.",metadata,no_intervention_signal
PMC13062159,"Desidustat's cardioprotective mechanisms in heart failure: a network pharmacology, molecular docking and dynamics approach.",metadata,no_intervention_signal
PMC12124071,Integrated bioinformatics and network pharmacology to identify and validate macrophage polarization related hub genes in the treatment of osteoarthritis with Astragalus membranaceus.,metadata,publication_type:letter journal article
PMC9439916,Therapeutic Mechanism and Key Active Ingredients of Shenfu Injection in Sepsis: A Network Pharmacology and Molecular Docking Approach.,metadata,no_intervention_signal
PMC12379535,"The mechanism of probiotics in pregnancy outcomes in overweight or obese pregnant women based on meta-analysis, network pharmacology and molecular docking.",metadata,title_pattern:\bmeta-analysis\b
PMC10991710,"Exploring the effects of calycosin on anthracycline-induced cardiotoxicity: a network pharmacology, molecular docking, and experimental study.",metadata,no_intervention_signal
PMC12179932,Potential mechanism of &lt;i&gt;Camellia luteoflora&lt;/i&gt; against colon adenocarcinoma: An integration of network pharmacology and molecular docking.,metadata,no_intervention_signal
PMC13124417,"Analysis of core target genes of vagus nerve stimulation in epilepsy, ischemic stroke, and depression: Separate insights from network pharmacology, bioinformatics, and Mendelian randomization.",metadata,no_intervention_signal
PMC13297854,"Elucidation of the Effects of Heat Treatment on Polyphenolic Compounds in Highland Barley and Their Potential Mechanisms of Action in Improving Hypertension Using Targeted Metabolomics, Network Pharmacology, and Molecular Docking",metadata,no_intervention_signal
PMC11334658,Exploration of the mechanism of fraxetin in treating acute myeloid leukemia based on network pharmacology and experimental verification.,metadata,no_intervention_signal
PMC8736312,Multi-scale mechanism of antiviral drug-alike phytoligands from Ayurveda in managing COVID-19 and associated metabolic comorbidities: insights from network pharmacology.,metadata,no_intervention_signal
PMC13056905,Neuroprotective mechanisms of cobalamin in ischemic stroke insights from network pharmacology and molecular simulations.,metadata,no_intervention_signal
PMC11961278,"Identification of Therapeutic Potential of Hydroxychavicol Against Alzheimer's Disease: An Integrated Network Pharmacology, Molecular Docking, and Dynamic Simulation Study.",metadata,no_intervention_signal
PMC11640074,The Mechanism of Relieving Diarrheal Irritable Bowel Syndrome Using Polyphenols from <i>Ribes nigrum</i> L. Based on a Network Pharmacology Analysis and 16S rRNA Sequencing.,metadata,no_intervention_signal
PMC12958659,Exploration of borneol essential oil function in the treatment of Alzheimer's disease based on network pharmacology and experimental validation.,metadata,no_intervention_signal
PMC13223498,"Comprehensive Evaluation of Triptolide's Therapeutic Mechanisms in Diabetic Kidney Disease &lt;i&gt;via&lt;/i&gt; Meta-Analysis, Network Pharmacology, Molecular Docking, and Mendelian Randomization.",metadata,title_pattern:\bmeta-analysis\b
PMC13068261,Network pharmacology and integrative bioinformatics analyses identify PDE1A as a key target of pirfenidone in idiopathic pulmonary fibrosis.,metadata,no_intervention_signal
PMC11971119,Prediction of potential targets of aloe-emodin in the treatment of hepatocellular carcinoma using network pharmacology combined with bioinformatics.,metadata,no_intervention_signal
PMC13257194,"Astilbin Protects Against Ischemic Stroke by Regulating ERK1/2/CREB/p90RSK Signaling and Ferroptosis-Related SLC7A11/ACSL4/GPX4 Axis: Insights from Network Pharmacology, Multi-Omics, and Molecular Dynamics.",metadata,no_intervention_signal
PMC10769149,"Medicine for chronic atrophic gastritis: a systematic review, meta- and network pharmacology analysis.",metadata,title_pattern:\bsystematic review\b
PMC12759265,"Integrated Network Pharmacology, Single-Cell Transcriptomics Unveil the Mechanistic Role of Morusin in Aortic Dissection.",metadata,no_intervention_signal
PMC12425968,"Icariin ameliorates minimal change disease by regulating the mitochondrial dysfunction pathway: an integrated strategy of network pharmacology, bioinformatics, and experimental validation.",metadata,no_intervention_signal
PMC10227678,Network pharmacology implicates traditional Chinese medicine in regulating systemic homeostasis to benefit Alzheimer's disease.,metadata,publication_type:review-article review journal article
PMC11745066,Network Pharmacology Combined With Metabolomics Reveals the Mechanism of Yangxuerongjin Pill Against Type 2 Diabetic Peripheral Neuropathy in Rats.,metadata,no_intervention_signal
PMC12664296,"Integrating network pharmacology, transcriptomics, molecular docking and in vitro experiments to investigate the material basis and mechanism of Liuwei Dihuang Pills for treating diabetic nephropathy.",metadata,no_intervention_signal
PMC12717163,Target-specific therapeutic assessment of repurposed drug candidates for oral lichen planus: a network pharmacology-molecular dynamics simulation guided investigation.,metadata,no_intervention_signal
PMC9737206,Metabolomics and Network Pharmacology in the Exploration of the Multi-Targeted Therapeutic Approach of Traditional Medicinal Plants.,metadata,publication_type:review-article review journal article
PMC13025019,"Sprouted Wheat Improves Liver Metabolism and Inflammation in T2DM Mice: 16S rRNA Gene Sequence, Metabolomics and Network Pharmacology Joint Analysis.",metadata,no_intervention_signal
PMC11899993,"Therapeutic Mechanisms of Medicine Food Homology Plants in Alzheimer's Disease: Insights from Network Pharmacology, Machine Learning, and Molecular Docking.",metadata,no_intervention_signal
PMC8903776,Metabolomics coupled with network pharmacology study on the protective effect of Keguan-1 granules in LPS-induced acute lung injury.,metadata,no_intervention_signal
PMC9398691,Mechanism Study of Cinnamomi Ramulus and <i>Paris polyphylla</i> Sm. Drug Pair in the Treatment of Adenomyosis by Network Pharmacology and Experimental Validation.,metadata,no_intervention_signal
PMC13086306,Unveiling the mechanism of calcitriol in treating type 2 diabetes mellitus: A combined network pharmacology and in vitro approach targeting ERS-related pathways.,metadata,no_intervention_signal
PMC11830035,"Integrated network pharmacology, molecular docking and experimental validation to investigate the mechanism of tannic acid in nasopharyngeal cancer.",metadata,no_intervention_signal
PMC10998068,Integration of network pharmacology and experimental verifications reveals the Bian-Se-Tong mixture can alleviate constipation in STC rats by reducing apoptosis of Cajal cells via activating PI3K-Akt signaling pathway.,metadata,no_intervention_signal
PMC10180667,Exploration of the Molecular Basis of Forsythia Fruit in the Prevention and Treatment of Cholestatic Liver Injury through Network Pharmacology and Molecular Docking.,metadata,no_intervention_signal
PMC11833071,Investigation of the mechanism of chenodeoxycholic acid in treating acute lung injury through network pharmacology and experimental validation.,metadata,no_intervention_signal
PMC10374640,The pharmacological mechanism of β-elemene in the treatment of esophageal cancer revealed by network pharmacology and experimental verification.,metadata,no_intervention_signal
PMC10826791,Substance basis and pharmacological mechanism of heat-clearing herbs in the treatment of ischaemic encephalopathy: a systematic review and network pharmacology.,metadata,title_pattern:\bsystematic review\b
PMC13133291,Integrated analysis of Morusin inhibiting esophageal cancer via network pharmacology molecular dynamics simulation and in vitro validation.,metadata,no_intervention_signal
PMC11823090,Exploring the causal associations of the gut microbiota and plasma metabolites with ovarian cancer: an approach of mendelian randomization analysis combined with network pharmacology and molecular docking.,metadata,no_intervention_signal
PMC10774059,Phytochemicals as estrogen receptor modulators?-a commentary of a network pharmacology study of two commonly employed Chinese herbal medicines in non-small cell lung cancer treatment.,metadata,title_pattern:\bcommentary\b
PMC8702253,Exploring potential mechanisms of Suhexiang Pill against COVID-19 based on network pharmacology and molecular docking.,metadata,publication_type:review-article journal article
PMC10950659,Mechanism of Bazi Bushen capsule in delaying the senescence of mesenchymal stem cells based on network pharmacology and experimental validation.,metadata,no_intervention_signal
PMC12071632,The Anti-Inflammatory Effects and Molecular Mechanism of &lt;i&gt;Citri Reticulatae Pericarpium&lt;/i&gt; Essential Oil: A Combined GC-MS and Network Pharmacology Study.,metadata,no_intervention_signal
PMC10745890,"Study of the Mechanism of Astragali Radix in Treating Type 2 Diabetes Mellitus and Its Renal Protection Based on Enzyme Activity, Network Pharmacology, and Experimental Verification.",metadata,no_intervention_signal
PMC12572168,Mechanistic analysis of luteolin in mitigating dry age-related macular degeneration through network pharmacology and experimental validation.,metadata,no_intervention_signal
PMC10031011,"""Drying effect"" of fructus aurantii components and the mechanism of action based on network pharmacology and <i>in vitro</i> pharmacodynamic validation.",metadata,no_intervention_signal
PMC9553678,An Integrated Strategy of Chemical Fingerprint and Network Pharmacology for the Discovery of Efficacy-Related Q-Markers of <i>Pheretima</i>.,metadata,no_intervention_signal
PMC9068950,A Tau Pathogenesis-Based Network Pharmacology Approach for Exploring the Protections of <i>Chuanxiong Rhizoma</i> in Alzheimer's Disease.,metadata,no_intervention_signal
PMC9440779,Combining Network Pharmacology with Experimental Validation to Elucidate the Mechanism of Salvianolic Acid B in Treating Diabetic Peripheral Neuropathy.,metadata,no_intervention_signal
PMC8727130,Analysis of the Efficacy and Pharmacological Mechanisms of Action of Zhenren Yangzang Decoction on Ulcerative Colitis Using Meta-Analysis and Network Pharmacology.,metadata,title_pattern:\bmeta-analysis\b
PMC12069167,"An integrative analysis combining bioinformatics, network pharmacology and experimental methods identified key genes of EGCG targets in Nasopharyngeal Carcinoma.",metadata,no_intervention_signal
PMC11514402,Therapeutic efficacy and pharmacological mechanism of Bailing capsule on chronic obstructive pulmonary disease: a meta-analysis and network pharmacology.,metadata,title_pattern:\bmeta-analysis\b
PMC12597945,Neuroprotective mechanisms of valproic acid and alpha-lipoic acid in ALS: a network pharmacology-based investigation.,metadata,no_intervention_signal
PMC12732698,Multi-Transcriptome-Informed Network Pharmacology Reveals Novel Biomarkers and Therapeutic Candidates for Parkinson's Disease.,metadata,no_intervention_signal
PMC13208598,Network Pharmacology Analysis of Glycyrrhetinic Acid in Metabolic Dysfunction-Associated Steatotic Liver Disease.,metadata,no_intervention_signal
PMC11809647,Network pharmacology and in silico approaches to uncover multitargeted mechanism of action of Zingiber zerumbet rhizomes for the treatment of idiopathic pulmonary fibrosis.,metadata,no_intervention_signal
PMC12292688,"Network Pharmacology Approaches to Myocardial Infarction Reperfusion Injury: Exploring Mechanisms, Pathophysiology, and Novel Therapies.",metadata,publication_type:review-article review journal article
PMC11770925,Analysis of the potential biological mechanisms of geniposide on renal fibrosis by network pharmacology and experimental verification.,metadata,no_intervention_signal
PMC11512754,Puerarin alleviates apoptosis and inflammation in kidney stone cells via the PI3K/AKT pathway: Network pharmacology and experimental verification.,metadata,no_intervention_signal
PMC10681924,Network pharmacology-based approach to investigate the molecular targets of essential oil obtained from lavender for treating breast cancer.,metadata,no_intervention_signal
PMC10695581,Anti-Nasopharyngeal carcinoma mechanism of sanguinarine based on network pharmacology and molecular docking.,metadata,no_intervention_signal
PMC11828949,"Exploring the potential mechanism of B-phycoerythrin on DSS-induced colitis and colitis-associated bone loss based on network pharmacology, molecular docking, and experimental validation.",metadata,no_intervention_signal
PMC12111181,Special Issue: Discovery of Bioactive Phytochemicals' Molecular Mechanisms Against Different Diseases Based on Network Pharmacology and Molecular Docking.,metadata,publication_type:introductory journal article editorial
PMC11701227,Elucidating the mechanism of stigmasterol in acute pancreatitis treatment: insights from network pharmacology and <i>in vitro</i>/<i>in vivo</i> experiments.,metadata,no_intervention_signal
PMC13154815,Network pharmacology and &lt;i&gt;in vitro&lt;/i&gt; experiments reveal the autophagy mechanism of Yanggan-Yishui granules in improving hypertensive renal injury.,metadata,no_intervention_signal
PMC11942381,Using Integrated Network Pharmacology and Metabolomics to Reveal the Mechanisms of the Combined Intervention of Ligustrazine and Sinomenine in CCI-Induced Neuropathic Pain Rats.,metadata,no_intervention_signal
PMC10618342,Integration of metabolomics and network pharmacology to reveal the protective mechanism underlying Qibai Pingfei capsule on chronic obstructive pulmonary disease.,metadata,no_intervention_signal
PMC11046112,A network pharmacology-based approach to explore the molecular mechanism of Aidi injection against prostate cancer.,metadata,no_intervention_signal
PMC12708557,"Farrerol inhibits proliferation and migration of colorectal cancer via the VEGF signaling pathway: evidence from network pharmacology, molecular docking, molecular dynamics simulation, and &lt;i&gt;in vitro&lt;/i&gt; experiments.",metadata,no_intervention_signal
PMC13140350,Network Pharmacology Combined With Clinical Retrospective Analysis to Investigate the Potential Mechanisms and Clinical Significance of Folate in Treating Spinal Cord Injury.,metadata,no_intervention_signal
PMC12944959,Combining Network Pharmacology and Experimental Verification to Investigate the Protective Effect of Melatonin on Fluoride-Induced Brain Injury.,metadata,no_intervention_signal
PMC13073563,Network Pharmacology-Guided Identification of &lt;i&gt;Candida albicans&lt;/i&gt; Secondary Metabolites as Modulators of HIV Latency via Oncogenic Signaling Pathways.,metadata,no_intervention_signal
PMC10310867,Analysis of common and characteristic actions of <i>Panax ginseng</i> and <i>Panax notoginseng</i> in wound healing based on network pharmacology and meta-analysis.,metadata,title_pattern:\bmeta-analysis\b
PMC10836281,Network pharmacology combined with molecular docking and experimental validation to explore the potential mechanism of <i>Cinnamomi ramulus</i> against ankylosing spondylitis.,metadata,no_intervention_signal
PMC10829404,Network pharmacology and experimental validation to study the potential mechanism of Tongguanteng injection in regulating apoptosis in osteosarcoma.,metadata,no_intervention_signal
PMC10963208,<i>Scutellaria baicalensis</i> Georgi stems and leaves flavonoids promote neuroregeneration and ameliorate memory loss in rats through cAMP-PKA-CREB signaling pathway based on network pharmacology and bioinformatics analysis.,metadata,no_intervention_signal
PMC10963359,Network pharmacology analysis and experimental validation to explore the mechanism of kaempferol in the treatment of osteoporosis.,metadata,no_intervention_signal
PMC12605766,"Investigating the Potential of Curcumin in the Treatment of Nonsmall Cell Lung Cancer: A Systematic Review With Meta-Analysis, Network Pharmacology, and Mendelian Randomization.",metadata,title_pattern:\bsystematic review\b
PMC11475252,Elemene Injection Overcomes Paclitaxel Resistance in Breast Cancer through AR/RUNX1 Signal: Network Pharmacology and Experimental Validation.,metadata,no_intervention_signal
PMC12188311,"Potentiation of paclitaxel-induced apoptosis in a non-small cell lung cancer model using the traditional Chinese drug huaier: Network pharmacology analysis, experimental verification, and clinical impact.",metadata,publication_type:letter journal article
PMC11073132,Network Pharmacology and Molecular Docking Identify the Potential Mechanism and Therapeutic Role of <i>Scutellaria baicalensis</i> in Alzheimer's Disease [Letter].,metadata,publication_type:letter
PMC9911245,Network Pharmacology-Based Identification of Key Targets of Ziyin Mingmu Pills Acting on Age-Related Macular Degeneration.,metadata,no_intervention_signal
PMC9298573,Exploring the Pharmacological Mechanism of the Effective Chinese Medicines Against Gynecological Cancer Based on Meta-Analysis Combined With Network Pharmacology Analysis.,metadata,title_pattern:\bmeta-analysis\b
PMC11834262,Comprehensive network pharmacology and experimental study to investigate the effect and mechanism of solasonine on breast carcinoma treatment.,metadata,publication_type:editorial
